# DRO_SourceID DetLink DetSlot 1DetCrate DetID DRO_Host DRO_Card DRO_SLR DRO_Link 
24 24 0 1 3 np02-srv-003 1 0 0
25 25 0 1 3 np02-srv-003 1 0 1
26 26 0 1 3 np02-srv-003 1 0 2
27 27 0 1 3 np02-srv-003 1 0 3
28 28 0 1 3 np02-srv-003 1 0 4
29 29 0 1 3 np02-srv-003 1 0 5
30 30 0 1 3 np02-srv-003 1 0 6
31 31 0 1 3 np02-srv-003 1 0 7
32 32 0 1 3 np02-srv-003 1 0 8
33 33 0 1 3 np02-srv-003 1 0 9
34 34 0 1 3 np02-srv-003 1 0 10
35 35 0 1 3 np02-srv-003 1 0 11
36 36 0 1 3 np02-srv-003 1 0 12
37 37 0 1 3 np02-srv-003 1 0 13
38 38 0 1 3 np02-srv-003 1 0 14
39 39 0 1 3 np02-srv-003 1 0 15
40 40 0 1 3 np02-srv-003 1 0 16
41 41 0 1 3 np02-srv-003 1 0 17
42 42 0 1 3 np02-srv-003 1 0 18
43 43 0 1 3 np02-srv-003 1 0 19
44 44 0 1 3 np02-srv-003 1 0 20
45 45 0 1 3 np02-srv-003 1 0 21
46 46 0 1 3 np02-srv-003 1 0 22
47 47 0 1 3 np02-srv-003 1 0 23
